time/s	                cycle number	        ox/red	Ewe/V	        I/mA	        Capacity/mA.h	Unnamed: 6
401973.0814404227	26.0	0	3.7000573	-90.002274	7.297291829728445	
401974.6214392767	26.0	0	3.6990457	-90.010551	7.335794762818231	
401976.196638111	26.0	0	3.6980338	-90.008003	7.375177860611386	
401977.8148369007	26.0	0	3.697022	-90.006096	7.415636019416809	
401979.3246357776	26.0	0	3.695972	-90.006729	7.453383910893757	
401981.0224345028	26.0	0	3.6949604	-90.013741	7.495832187458038	
401982.6092333272	26.0	0	3.6939485	-90.007362	7.535505181630875	
401984.2072321326	26.0	0	3.6929176	-90.009918	7.575458343866983	
401985.802830942	26.0	0	3.6918676	-90.011185	7.615351450511931	
401987.4874296896	26.0	0	3.6908557	-90.008003	7.657469776761796	
401989.0668285182	26.0	0	3.6898441	-90.008003	7.696957932773166	
401990.6828273088	26.0	0	3.6888323	-90.004814	7.737361149620479	
401992.1904261902	26.0	0	3.6877823	-90.004814	7.775054029906379	
401993.918624904	26.0	0	3.6867514	-90.007362	7.818262331381904	
401995.632623631	26.0	0	3.6857398	-90.010551	7.861115702966054	
401997.2136224424	26.0	0	3.6847088	-90.012466	7.900643823250241	
401998.8900211975	26.0	0	3.683697	-90.009277	7.94255705871794	
402000.4926199964	26.0	0	3.6826661	-90.006729	7.98262518336402	
402002.1938187405	26.0	0	3.6816545	-90.007362	8.025158416235183	
402003.791017551	26.0	0	3.6806426	-90.004814	8.065091457174937	
402005.3970163427	26.0	0	3.6796308	-90.011833	8.105244589952681	
402007.0570151079	26.0	0	3.6785998	-90.002907	8.146747756019169	
402008.7890138286	26.0	0	3.6775689	-90.007362	8.190051135550606	
402010.4016126171	26.0	0	3.6765573	-90.007362	8.230369331542121	
402011.9542114623	26.0	0	3.6755455	-90.002907	8.269187392043644	
402013.7466101262	26.0	0	3.6745336	-90.006729	8.314000911422307	
402015.3736089148	26.0	0	3.673522	-90.009277	8.354679062030794	
402017.0166076906	26.0	0	3.6725101	-90.007362	8.395757244922216	
402018.6666064672	26.0	0	3.6714792	-90.00354	8.437010490541248	
402020.3314052187	26.0	0	3.6704483	-89.999718	8.478633705688054	
